NN,XX,YY
LLAMA,-79,-6.5
LLAMA,-79.1225,-6.51444
CHANCAY BAOOS,-78.8672,-6.575
HACIENDA CHANCAY,-78.8667,-6.56667
SANTA CRUZ,-78.9475,-6.63306
CHUGUR,-78.7333,-6.66667
TINAJONES,-79.565,-6.71373
PUCALA,-79.6,-6.75
SANTA CATALINA DE PULAN,-78.9167,-6.73333
LA LUCUMA,-78.8167,-6.7
HACIENDA TONGOD,-78.8167,-6.76667
QUILCATE,-78.7439,-6.82
QUILCATE,-78.8,-6.81667
HACIENDA PUCALA,-79.6167,-6.78333
SIPAN,-79.6,-6.80139
REQUE,-79.8354,-6.88617
UDIMA,-79.0916,-6.81131
EL ESPINAL,-79.1869,-6.82303
BEBEDERO,-79.3167,-6.8
OYOTUN,-79.3232,-6.86414
OYOTUN,-79.3167,-6.83333
SANA,-79.5833,-6.91667
ZANA,-79.5833,-6.91667
CAYALTI,-79.5594,-6.89825
NIEPOS,-79.1291,-6.92506
NIEPOS,-79.1333,-6.91667
RAURA,-76.7333,-10.4667
HUALLANCA,-76.95,-9.88333
LA UNION,-76.7927,-9.82034
HUARI,-77.1667,-9.35
CAHUISH,-77.25,-9.68333
CHAVIN,-77.1753,-9.58603
CHAVIN,-77.25,-9.58333
LLATA,-76.7833,-9.55
DOS DE MAYO,-76.7455,-9.62522
BULDIBUYO,-77.3667,-8.11667
CAJAS,-77.2317,-8.27294
TAYABAMBA,-77.2833,-8.28333
HUANCAS,-77.1413,-8.41588
SIHUAS,-77.6316,-8.54648
SAFUNA,-77.5801,-8.83333
POMABAMBA,-77.4667,-8.78333
PISCOBAMBA,-77.3667,-8.85
SHUMBA ALTA,-78.8008,-5.64121
JAEN,-78.7742,-5.67667
LA CASCARILLA,-78.8977,-5.67175
SALALA,-79.45,-5.1
SALALA,-79.4667,-5.1
ZAPALACHE,-79.4333,-5.15
HUAR HUAR (SALALA),-79.4701,-5.15448
CAROANCHO,-79.4833,-5.25
MATARA,-79.45,-5.25
QUISPAMPA,-79.45,-5.26667
HACIENDA SHUMAYA,-79.35,-5.36667
HUASCARAY,-79.3333,-5.33333
SHUMAYA,-79.3583,-5.36111
TULUCE,-79.4181,-5.49067
SONDORILLO,-79.429,-5.33664
CONGORA,-79.5333,-5.73333
HUARMACA,-79.5231,-5.56917
HUARMACA,-79.5167,-5.56667
PORCULLA,-79.5061,-5.83972
PALAMBE,-79.3333,-5.6
SALLIQUE,-79.3125,-5.65889
SALLIQUE,-79.3167,-5.65
TAILIN,-79.3667,-5.56667
CHONTALI,-79.09,-5.64389
PIEDRA DEL INCA,-79.1321,-5.60603
PUENTE CHUNCHUCA,-78.8564,-5.93305
EL TAMBO,-79.3833,-5.76667
SAN FELIPE,-79.3167,-5.76667
CACAO,-78.9667,-5.85
CHUNCHUCA,-78.8833,-5.9
CHUNCHUQUILLO,-78.9667,-5.91667
COLASAY,-79.0667,-5.96667
EL CACAO,-78.9667,-5.85
HUACAPAMPA,-79,-6
CAEARIS,-79.2667,-6
COLAGUAY,-79.2333,-5.9
EL ARENAL,-79.3,-5.93333
EL LIMON,-79.3175,-5.91806
GRANADILLAS,-79.05,-5.75
LOMA CURCA,-79.1833,-5.86667
QUISMACHE,-79.2333,-5.85
SANTA LUCIA,-79.4333,-5.975
HACIENDA PUCARA,-79.1339,-6.04167
HUANDOHUACA,-79.3,-6
HUALLANLLE,-79.05,-6.11667
MAMABAMBA,-78.95,-6.26667
QUEROCOTILLO,-79.0369,-6.27361
CUEVA BLANCA,-79.3561,-6.15972
CUTERVO,-78.8045,-6.37928
GRANJA AZUL,-79.0667,-6.36667
GRANJA AZUL,-79.1167,-6.35
COCHABAMBA,-78.8886,-6.46
CHOTA,-78.6486,-6.54722
LAJAS,-78.7333,-6.53333
LAJAS,-78.7483,-6.55972
NAMBALLE,-79.0886,-4.99958
SAN IGNACIO,-78.9967,-5.145
BARRIZALES,-79.2833,-5.38333
CHICHILAPA,-79.3167,-5.25
ISUA,-79.3064,-5.28972
LA FLORIDA,-79.105,-5.31306
MANCHARA ALTO,-79.2667,-5.45
MANCHARA BAJO,-79.2556,-5.35
TABACONAS,-79.2333,-5.33333
TABACONAS PUEBLO,-79.3,-5.31667
CHIRINOS,-78.8975,-5.30861
COCHALAN,-78.9712,-5.43594
SAN JOSE DEL ALTO,-79.0867,-5.42738
AGUA AZUL,-79.0333,-5.58333
ALTO CHUNCHUCA,-79,-5.58333
ALTO CHONTALI,-78.9333,-5.65
BAGUA,-78.4667,-5.6
BAGUA CHICA,-78.5248,-5.6303
HACIENDA VALOR,-78.5537,-5.70215
MORERILLA,-78.4706,-5.72294
EL PINTOR,-78.5231,-5.75619
HACIENDA CAIMITO,-78.3667,-5.85
JAMALCA,-78.2373,-5.89369
MAGUNCHAL,-78.1889,-5.89106
TAMBOLIC,-78.1667,-5.96667
JAZAN,-77.976,-5.94494
LAMUD,-77.9159,-6.16116
CHACHAPOYAS,-77.8672,-6.20833
CHACHAPOYAS,-77.8167,-6.23333
LEIMEBAMBA,-77.8,-6.67662
CHIRIACO,-78.2881,-5.16144
NUEVA NAZARETH,-78.4249,-5.2546
ARAMANGO,-78.4347,-5.41972
CHINGANZA,-78.4333,-5.41667
POMACOCHAS,-77.9167,-5.8
JUMBILLA,-77.8087,-5.89618
NIEVA JOSE OLAYA,-77.9333,-4.83333
SANTA MARIA DE NIEVA,-77.9393,-4.83039
CAHUIDE,-78.2702,-3.4367
CASTRO,-78.2479,-3.4811
PINGLO,-78.0926,-4.43333
SUBTENIENTE CASTRO,-78.2591,-3.5539
ORACUZA,-78.1349,-4.62778
CHIPE,-78.2781,-4.6642
IMACITA,-78.3153,-4.65024
SAN RAFAEL,-78.2254,-4.61889
HUAMACHUCO,-78.04,-7.81928
HUAMACHUCO,-78.05,-7.81667
LAGUNA HUANGACOCHA,-78.1333,-7.91667
LA ENCA,-78.3167,-7.11667
AUGUSTO WEBERBAUER,-78.5,-7.16667
AYLAMBO,-78.5242,-7.19678
CAJAMARCA,-78.4833,-7.15
LA VICTORIA,-78.4833,-7.18333
CAJAMARCA,-78.5017,-7.14801
NAMORA,-78.3333,-7.2
NAMORA,-78.3278,-7.20067
SONDOR MATARA,-78.2434,-7.22075
JESUS TUNEL,-78.4126,-7.22944
LA VICTORIA,-78.3333,-7.25
MATARA,-78.2535,-7.24419
PENIPAMPA,-78.2746,-7.32951
HACIENDA EDELMIRA,-78.2167,-7.36667
SAN MARCOS,-78.1726,-7.3225
HACIENDA JOCOS,-78,-7.51667
CACHACHI,-78.2687,-7.45094
HUAYLLABAMBA,-78.3167,-7.46667
KANZEL,-78.35,-7.46667
LA TAYA,-78.2833,-7.46667
CHAQUICOCHA,-78.15,-7.53333
CAJABAMBA,-78.0511,-7.62167
EL PALTO,-78.4765,-5.98643
PIMPINGOS,-78.7688,-6.01576
TACABAMBA,-78.6167,-6.38333
CONCHAN,-78.65,-6.43333
HACIENDA EL MOLINO,-78.4245,-6.49801
SAMANGAY,-78.5742,-6.62951
BAMBAMARCA,-78.5183,-6.67639
CHONTA,-78.45,-6.56667
HACIENDA LLAUCAN,-78.5333,-6.75
LLAUCANO,-78.5333,-6.73333
LLAUCANO,-78.5333,-6.68333
QUEBRADA SHUGAR,-78.4569,-6.68778
LA LLICA,-78.5188,-6.79816
CELENDIN,-78.1222,-6.85
SAN JUAN DE LACAMACA,-78.5755,-6.7
HUALGAYOC,-78.6167,-6.76667
JADIBAMBA,-78.4,-6.81667
HACIENDA NEGRITOS,-78.5333,-6.9
MICHIQUILLAY,-78.5333,-6.9
MACHAGUAY,-72.5019,-15.645
MACHAGUAY,-72.5,-15.65
CASCA,-71.6667,-15.5333
AYO,-72.27,-15.6789
CHIVAY,-71.5967,-15.6378
LA CALERA,-71.5903,-15.6232
VISUYO,-71.5333,-15.5523
PAMPA COLCA,-72.5667,-15.7167
PAMPACOLCA,-72.5672,-15.7139
CABANACONDE,-71.9683,-15.6183
CABANACONDE,-71.9667,-15.6
LAGUNA MACURCA,-72.0333,-15.75
PULLHUAY,-72.4333,-15.0833
CHACHAS,-72.2669,-15.4986
ORCOPAMPA,-72.3386,-15.2606
HUINCO,-71.45,-15.2667
LLACTO SAYACA,-71.25,-15.1667
PORPERA,-71.3167,-15.35
TISCO,-71.45,-15.35
CHOCO,-72.1167,-15.5667
BUENA VISTA,-71.1167,-15.35
CONDOROMA (B.VISTA),-71.1167,-15.35
SIBAYO,-71.4528,-15.4853
SIMBAYO,-71.45,-15.4833
TRES ESTANCIAS,-71.5167,-15.45
PANE,-71.0318,-15.5994
CALLALLI,-71.45,-15.5
CONDOROMA,-71.3,-15.4
HACIENDA MOROCAQUI,-71.05,-15.6167
LA PULPERA,-71.45,-15.6167
CRUCERO ALTO,-70.9167,-15.7667
HACIENDA ATECATE,-70.9777,-15.3897
VISUYO,-71.7667,-15.6167
ANDAHUA,-72.3489,-15.4933
ANDAHUA,-72.35,-15.4833
LLAPA YANAHUARA,-71.5334,-15.5118
MADRIGAL,-71.8114,-15.6164
CHUQUIBAMBA,-72.6483,-15.8378
CRUCERO ALTO,-70.9396,-15.7574
HUAMBO,-72.1022,-15.72
APLAO,-72.4903,-16.0692
PAMPA DE MAJES,-72.2106,-16.3275
SANTA ELENA,-72.4833,-16.2
HACIENDA PAMPATA,-72.7,-16.55
CAMANA,-72.7175,-16.6251
EL MOLINO,-79.5333,-5.91667
HACIENDA CHINCHE,-79.5167,-5.88333
OLMOS,-79.7283,-5.99194
HACIENDA LANDAS,-79.6,-5.78333
GRANJA EXPERIMENTAL,-79.8167,-5.83333
GRANJA EXPERIMENTAL PASABA,-79.8167,-5.83333
LAGUNA SHIMBE,-79.8333,-5.85
MANO DE LEON,-79.7333,-5.86667
TIERRA RAJADA,-79.9333,-5.75
BAYOVAR,-81.0167,-5.84419
PAITA,-81.1333,-5.11667
SAN ISIDRO,-80.2667,-4.78333
CRUCETA,-80.2667,-4.86667
CURVAN,-80.3,-4.95
EL TABLAZO,-80.4667,-4.88333
HUALTACO,-80.3167,-4.85
MALINGAS,-80.2667,-4.96667
MALINGAS,-80.25,-4.95
TAMBO GRANDE,-80.3167,-4.95
SAN JOAQUIN,-80.35,-5.13333
TEJEDORES,-80.2333,-4.75
CHULUCANAS,-80.1667,-5.1
HACIENDA YAPATERA,-80.1333,-5.06667
HUAPALAS,-80.1667,-5.1
SAN PEDRO,-80.0333,-5.08333
SANTO DOMINGO,-79.8714,-5.02389
SANTO DOMINGO,-79.8833,-5.03333
MIRAFLORES,-80.6167,-5.16667
PIURA,-80.6167,-5.2
ALTAMIZA,-79.7333,-5.06667
CHALACO,-79.7917,-5.03694
PALO BLANCO,-79.5638,-5.17295
PASAPAMPA,-79.6,-5.11667
MORROPON,-79.9781,-5.17972
CORRAL DEL MEDIO,-79.8833,-5.18333
PALTASHACO,-79.8667,-5.11667
SAN MIGUEL,-80.6819,-5.24306
VIRREY,-79.9833,-5.53333
HACIENDA PABUR,-80.0333,-5.21667
CANCHAQUE,-79.6,-5.36667
HUANCABAMBA,-79.7167,-5.25
HACIENDA BIGOTE,-79.7833,-5.33333
BARRIOS,-79.7,-5.28333
MONTEGRANDE,-80.7311,-5.355
MALACASI,-79.8914,-5.32306
MALACASI,-79.8833,-5.31667
CHIGNIA,-79.7,-5.6
PIRGAS,-79.6167,-5.66667
BERNAL,-80.75,-5.63333
CHUSIS,-80.8333,-5.51667
LAGUNA RAMON,-80.6667,-5.55
BRETAHA,-74.35,-5.25
FLOR DE PUNGA,-74.157,-5.40778
TAMANCO,-74.2833,-5.78333
LA PEDRERA,-74.5333,-5.76667
DOS DE MAYO,-75.1167,-6.36667
JUANCITO,-74.8667,-6.03333
JUANCITO,-74.9,-6.03333
ORELLANA,-75.1667,-6.9
BAGAZAN,-73.6205,-4.71255
GENARO HERRERA (BOSQUE),-73.5,-4.65
GENARO HERRERA,-73.5983,-4.86697
REQUENA,-73.8356,-5.04264
REQUENA,-73.8,-5
LA PUNTA,-77.1674,-12.0696
ISLA SUANA,-68.8364,-16.3591
ISLA CHINCHA NORTE,-76.2391,-13.6933
ISLA DON MARTIN,-77.6746,-11.0087
ISLA GUAAAPE NORTE,-78.8858,-8.53088
ISLA LOBOS DE AFUERA,-80.7025,-6.96421
ISLA LOBOS DE TIERRA,-80.8525,-6.44754
ISLA PALOMINO,-77.2358,-12.1142
