NN,XX,YY
LOMAS DE PASAMAYO,-77.2907,-11.5347
SANTA ROSA,-77.3833,-11.2167
LOMAS DE LACHAY,-77.3667,-11.3667
LOMAS DE LACHAY,-77.3667,-11.35
CAPITANIA HUACHO,-77.6099,-11.1166
DONOSO,-77.2333,-11.4667
HACIENDA RETES HUARAL,-77.2333,-11.4667
HUARAL,-77.2333,-11.4667
CAMAY,-77.6489,-10.913
HUACHO,-77.6,-11
CHACACA,-77.6167,-11.0667
CHACUA,-76.6833,-10.6167
CHALGO,-76.6,-10.85
GAZUNA ALTA,-76.8333,-10.5167
LAGUNA COCHAQUILLO,-76.6667,-10.7833
LAGUNA SURASACA,-76.7833,-10.5167
OYON,-76.7667,-10.6667
PATON,-76.7,-10.6667
SHARIN,-76.6833,-10.8667
SHUSCHAPA,-76.75,-10.5167
SURASACA,-76.7833,-10.5167
TABLADAS,-76.6667,-10.7667
COCHAQUILLO,-76.6649,-10.8128
PICOY,-76.7167,-10.8833
ANDAJES,-76.9,-10.7833
CACHIPACARAN,-76.9333,-10.7333
PACHANGARA,-76.8167,-10.7833
PAMPA LIBRE,-76.9667,-10.8667
PARQUIN,-76.7167,-10.9667
PICOY,-76.7333,-10.9167
TUPE,-76.65,-11
PACCHO,-76.9333,-10.95
ALCANTARILLA,-77.55,-11.05
HUMAYA,-77.4167,-11.1
ANDAHUASI,-77.2333,-11.1333
PACHAMACHAY,-76.8333,-11.05
YAURINGA,-77.0167,-11.1333
PALLAC,-76.8,-11.35
PACAYBAMBA,-76.9,-11.45
CARAC,-76.7833,-11.1833
SANTA CRUZ,-76.6333,-11.2
SANTANDER,-76.6325,-11.1903
PIRCA,-76.65,-11.2333
HUAYAN,-77.1167,-11.45
BARRANCA,-77.75,-10.75
PURMACANA,-77.6333,-10.7667
OTOPONGO,-77.6833,-10.6167
PARAMONGA,-77.7833,-10.6667
PARARIN,-77.5333,-10.05
CONOCOCHA # 1,-77.3333,-10.1167
LAMPAS BAJO # 3,-77.3667,-10.0667
LLACLLIN,-77.6167,-10.0667
CAJACAY,-77.4333,-10.15
MAYORARCA (RIN RIN),-77.4167,-10.1667
CHAMANA,-77.5587,-10.2073
CHAMANA,-77.5667,-10.25
CONGAS,-77.4333,-10.3333
AQUIA,-77.1095,-10.0557
CHIQUIAN,-77.15,-10.15
OCROS,-77.4,-10.4
CAJATAMBO,-76.9833,-10.4667
CASHAURCO,-76.8333,-10.4667
ACO,-77.2333,-10.5
HUAYTO,-77.65,-10.65
GORGOR,-77.0333,-10.5667
