,x
X370.5,67.1839662232298
X371.5,67.2881320486677
X372.5,49.0494537955903
X373.5,62.1687325283568
X374.5,142.184967375816
X375.5,54.804593088145
X376.5,13.2686531348748
X377.5,1.20306450358414
X378.5,0.842876227012776
X379.5,0.345106177557101
X380.5,6.51449757021792
X381.5,43.5599452626515
X382.5,46.314599916656
X383.5,45.1718877503212
X384.5,26.5014877430302
X385.5,47.6037201177567
X386.5,76.5426814839878
X387.5,41.237161687714
X388.5,11.5574084954693
X389.5,3.52283208092001
X390.5,0.853314968816777
X391.5,4.79908192569905
X392.5,13.387993860752
X393.5,25.3949336647353
X394.5,20.44464237988
X395.5,26.6697006317529
X396.5,59.9833212526555
X397.5,97.8808164342921
X398.5,191.165993520554
X399.5,81.9417317560379
X400.5,18.7706587777493
X401.5,0.696396564569403
X402.5,2.30807503544666
X403.5,3.4422825603409
X404.5,22.7363449460331
X405.5,54.3019094988704
X406.5,58.4699111060893
X407.5,143.527290831221
X408.5,103.556947096865
X409.5,128.432500727633
X410.5,152.658364198309
X411.5,91.2035985221254
X412.5,20.9126756216617
X413.5,2.13003722740773
X414.5,0.460405628494126
X415.5,0.689566553411807
X416.5,11.4432240203518
X417.5,24.1918906348341
X418.5,38.8898456229809
X419.5,66.63347320861
X420.5,46.4942002226698
X421.5,68.1981077137146
X422.5,91.181661309714
X423.5,50.6582920492647
X424.5,20.6369397202705
X425.5,3.18097023636182
X426.5,0.905246310599862
X427.5,1.22927256408048
X428.5,8.20396158657968
X429.5,32.4843837700071
X430.5,48.0205129572052
X431.5,81.2867704799518
X432.5,77.932903807214
X433.5,105.366424144583
X434.5,128.088017945594
X435.5,57.1425832414881
X436.5,16.5876201965073
X437.5,1.42275416304139
X438.5,0.186879538197784
X439.5,3.53040858722748
X440.5,11.0663939895941
X441.5,49.1166675084449
X442.5,28.6342408263144
X443.5,39.0164043697568
X444.5,54.5835949918057
X445.5,93.1001278979981
X446.5,56.1032266429764
X447.5,41.3660334202837
X448.5,17.8040822122959
X449.5,3.93933175939155
X450.5,0.600478765837095
X451.5,3.04787370245507
X452.5,17.9220083787086
X453.5,46.0330928075821
X454.5,66.2154865391711
X455.5,152.62774376159
X456.5,139.798410993941
X457.5,172.558423894517
X458.5,210.117296807309
X459.5,73.4335757354472
X460.5,12.9507704263038
X461.5,3.38166652172754
X462.5,0.237050844277156
X463.5,1.78826307091228
X464.5,10.2267534716174
X465.5,61.0375535749692
X466.5,36.6080179501404
X467.5,56.2418238939123
X468.5,92.3498465330043
X469.5,198.794806196335
X470.5,112.583073957169
X471.5,55.9106235440741
X472.5,29.5658935118229
X473.5,7.94157273528424
X474.5,1.98237312892254
X475.5,2.90112834675436
X476.5,29.3337497514613
X477.5,25.848890325966
X478.5,52.6877303719521
X479.5,77.8305977291249
X480.5,56.662660351459
X481.5,110.313512729838
X482.5,109.744549873027
X483.5,62.1660328177696
X484.5,30.2407738122534
X485.5,2.84813820429027
X486.5,0.728904034555989
X487.5,7.52777174780978
X488.5,12.9726694964189
X489.5,12.1572883917772
X490.5,28.964595734439
X491.5,94.7786527364812
X492.5,152.656926642073
X493.5,84.0674629192403
X494.5,174.01999367298
X495.5,36.9541891325027
X496.5,18.340027822142
X497.5,2.14462183035435
X498.5,1.2591305862062
X499.5,0.700102093292678
X500.5,21.4337878277961
X501.5,36.3610946805553
X502.5,71.1234884927882
X503.5,58.2098763860921
X504.5,37.2182140272666
X505.5,87.8779235849989
X506.5,145.644769299538
X507.5,58.7675230236764
X508.5,10.0457562797881
X509.5,1.46964492327088
X510.5,1.71333705122642
X511.5,0.270966209793226
X512.5,8.76405105787389
X513.5,62.5405180416209
X514.5,83.4312121766679
X515.5,64.3984749631045
X516.5,56.5133018709244
X517.5,67.5363132979007
X518.5,92.256037690538
