,CHORRILLOS,ACOBAMBA,MINA COLQUI,PUCRO,TINGO,SHEQUE,LA QUISHA,CARAMPOMA,MILLOC,LA PIRHUA,BELLAVISTA,CASAPALCA,RIO BLANCO,AUTISHA,SAN JOSE DE PARAC,TAMBORAQUE,MATUCANA,SANTA EULALIA,CANCHACALLA,CHAUTE,LIMATAMBO,CHOSICA,CHOSICA,LA CANTUTA, ANA,SANTA CLARA,RIMAC,SAN MARCOS,VON HUMBOLDT,CAMPO DE MARTE,MODELO CAMPO DE MARTE,HIPOLITO UNANUE,LAS PALMAS,LINCE,TICLIO
X262.5,127.331481933594,69.6897201538086,63.3374137878418,56.7754287719727,77.2145156860352,77.2145156860352,77.2145156860352,80.6385116577148,56.7754287719727,67.8766250610352,63.1071319580078,63.1071319580078,76.7417221069336,95.5943603515625,77.7071151733398,83.7018585205078,93.9989166259766,127.645965576172,104.151863098145,116.312225341797,137.034973144531,130.936965942383,130.936965942383,130.936965942383,135.14128112793,138.777374267578,137.034973144531,137.034973144531,139.608978271484,137.034973144531,137.034973144531,137.034973144531,127.331481933594,137.034973144531,63.1071319580078
X263.5,118.698699951172,67.0424728393555,61.0413513183594,54.5686645507812,74.523193359375,74.523193359375,74.523193359375,77.6512603759766,54.5686645507812,65.1733093261719,60.3285942077637,60.3285942077637,74.4255218505859,92.1821441650391,74.9443893432617,81.3918762207031,91.682731628418,125.012756347656,101.484893798828,113.876731872559,128.551452636719,127.945114135742,127.945114135742,127.945114135742,131.015106201172,134.415954589844,128.551452636719,128.551452636719,131.804580688477,128.551452636719,128.551452636719,128.551452636719,118.698699951172,128.551452636719,60.3285942077637
X264.5,104.468322753906,62.4150924682617,57.0007095336914,51.5515823364258,68.8076019287109,68.8076019287109,68.8076019287109,71.9377059936523,51.5515823364258,61.167049407959,56.3807907104492,56.3807907104492,68.7762603759766,86.6946563720703,70.0713729858398,75.2270660400391,86.0212097167969,114.318099975586,93.9125213623047,105.785354614258,113.06095123291,115.922180175781,115.922180175781,115.922180175781,117.113311767578,119.543426513672,113.06095123291,113.06095123291,115.884696960449,113.06095123291,113.06095123291,113.06095123291,104.468322753906,113.06095123291,56.3807907104492
X265.5,80.7930145263672,49.7415428161621,44.8966026306152,41.186222076416,54.4096603393555,54.4096603393555,54.4096603393555,57.5138664245605,41.186222076416,47.9549217224121,44.5958976745605,44.5958976745605,55.1393585205078,71.1989822387695,55.603889465332,60.0525169372559,71.2095947265625,88.122917175293,75.1606521606445,82.8333969116211,85.9319763183594,89.5660552978516,89.5660552978516,89.5660552978516,89.3062515258789,89.9218063354492,85.9319763183594,85.9319763183594,87.6601257324219,85.9319763183594,85.9319763183594,85.9319763183594,80.7930145263672,85.9319763183594,44.5958976745605
X266.5,82.5123443603516,52.7763366699219,46.9070434570312,42.71875,57.925407409668,57.925407409668,57.925407409668,61.7666435241699,42.71875,50.1177864074707,46.2661933898926,46.2661933898926,58.081470489502,75.3968963623047,58.2941284179688,63.665397644043,75.0028076171875,90.5891876220703,78.8949661254883,86.6113586425781,88.0071563720703,90.1468811035156,90.1468811035156,90.1468811035156,88.4062347412109,87.6236114501953,88.0071563720703,88.0071563720703,86.6059265136719,88.0071563720703,88.0071563720703,88.0071563720703,82.5123443603516,88.0071563720703,46.2661933898926
X267.5,80.0631332397461,49.5356750488281,43.3689117431641,38.5120468139648,54.920654296875,54.920654296875,54.920654296875,57.6378288269043,38.5120468139648,47.1915054321289,43.2604713439941,43.2604713439941,55.4301528930664,70.6476745605469,56.550609588623,62.0718727111816,73.007194519043,88.8699188232422,77.0321350097656,85.3994674682617,85.5985336303711,87.4841918945312,87.4841918945312,87.4841918945312,85.2909927368164,84.1306228637695,85.5985336303711,85.5985336303711,83.2625961303711,85.5985336303711,85.5985336303711,85.5985336303711,80.0631332397461,85.5985336303711,43.2604713439941
X268.5,85.0577621459961,56.7691459655762,49.7921714782715,43.9475021362305,63.0606498718262,63.0606498718262,63.0606498718262,65.9307403564453,43.9475021362305,54.0757102966309,49.9908142089844,49.9908142089844,63.9324836730957,79.1434707641602,64.933235168457,71.5231704711914,82.6815948486328,97.17578125,85.2943267822266,93.7397994995117,90.7194442749023,95.3306045532227,95.3306045532227,95.3306045532227,92.4736251831055,91.269401550293,90.7194442749023,90.7194442749023,89.7415924072266,90.7194442749023,90.7194442749023,90.7194442749023,85.0577621459961,90.7194442749023,49.9908142089844
X269.5,88.6576156616211,63.3522491455078,55.512035369873,48.8814697265625,70.3098602294922,70.3098602294922,70.3098602294922,73.0711441040039,48.8814697265625,60.4548988342285,55.8689498901367,55.8689498901367,70.6748962402344,86.3246917724609,72.3063735961914,79.2042922973633,90.0880661010742,104.186325073242,93.1032028198242,101.16365814209,96.4846725463867,102.553749084473,102.553749084473,102.553749084473,99.9817657470703,99.1248397827148,96.4846725463867,96.4846725463867,96.8988265991211,96.4846725463867,96.4846725463867,96.4846725463867,88.6576156616211,96.4846725463867,55.8689498901367
X270.5,101.894538879395,71.9657745361328,64.1295166015625,57.5793838500977,79.5936126708984,79.5936126708984,79.5936126708984,83.1119766235352,57.5793838500977,69.1452255249023,64.6638412475586,64.6638412475586,80.2926940917969,98.2765731811523,80.8844299316406,88.9985046386719,100.636703491211,118.771034240723,105.458908081055,114.711608886719,109.90259552002,117.20255279541,117.20255279541,117.20255279541,115.170333862305,115.214714050293,109.90259552002,109.90259552002,111.804656982422,109.90259552002,109.90259552002,109.90259552002,101.894538879395,109.90259552002,64.6638412475586
X271.5,110.664459228516,72.8102874755859,65.0983352661133,58.9202079772949,81.0094604492188,81.0094604492188,81.0094604492188,85.1983795166016,58.9202079772949,70.1283187866211,66.4286270141602,66.4286270141602,82.7371673583984,101.742683410645,81.8541641235352,91.3923721313477,103.377235412598,123.819778442383,109.574241638184,119.009498596191,118.225814819336,122.586860656738,122.586860656738,122.586860656738,121.188179016113,121.444717407227,118.225814819336,118.225814819336,119.117805480957,118.225814819336,118.225814819336,118.225814819336,110.664459228516,118.225814819336,66.4286270141602
