,MILLOC,LA PIRHUA,TAMBORAQUE,BELLAVISTA,RIO BLANCO,SAN JOSE DE PARAC,CASAPALCA,TICLIO
1/03/1990,59.21511841,58.98500443,49.65472412,62.10638428,52.83766937,48.31956482,62.10638428,62.39005661
1/04/1990,37.77965546,19.21798325,11.00541592,31.733078,22.35723877,19.8431263,31.733078,44.82417297
1/05/1990,30.24156952,16.82341194,6.177320957,24.10188293,11.95769787,11.82306099,24.10188293,42.14783859
1/06/1990,33.80391312,16.38805389,5.244139671,44.94383621,19.7619915,9.131725311,44.94383621,65.22632599
1/07/1990,2.635603905,0.894408762,0.206906348,1.806399703,0.587586462,0.486540437,1.806399703,4.93262434
1/08/1990,13.06719017,5.645691395,1.613102198,8.429964066,2.881052017,2.514603138,8.429964066,12.09481049
1/09/1990,17.27885246,10.98729706,5.58569622,13.16390228,10.5416975,3.987696886,13.16390228,17.46992683
1/10/1990,118.2408447,78.11452484,27.2105732,112.1216507,63.18920898,42.55549622,112.1216507,159.6628418
1/11/1990,173.5723877,114.580513,55.48435211,118.1769028,94.77016449,63.7503624,118.1769028,135.0126801
1/12/1990,107.4215622,81.45158386,57.66365433,97.67397308,72.66786957,68.94805145,97.67397308,75.67603302
1/01/1991,73.24900055,66.88787079,41.55133057,66.74869537,47.90002441,41.59115219,66.74869537,51.73012161
1/02/1991,87.53515625,94.53024292,77.46453094,79.33249664,69.42461395,61.82626724,79.33249664,81.3939743
1/03/1991,105.5113831,128.3479614,134.0806885,128.1311035,112.9806595,130.2682648,128.1311035,91.72550201
1/04/1991,44.428936,30.82313538,19.6876564,41.04602814,26.44662094,28.0093441,41.04602814,49.47315598
1/05/1991,28.13281822,16.59541512,5.379292488,23.60024834,9.140991211,6.291078568,23.60024834,33.9473877
1/06/1991,5.807759762,2.701809883,0.798988223,5.333703041,2.54549861,1.341751695,5.333703041,11.08926773
1/07/1991,6.920344353,2.583540678,0.60824728,6.152134895,1.443740606,0.949323475,6.152134895,7.600242138
1/08/1991,0.206072688,0.08508262,0.108325168,0.081923522,0.063176423,0.255082399,0.081923522,0.068677709
1/09/1991,42.06687164,19.373106,5.961217403,24.56940651,12.65030098,5.216267109,24.56940651,40.21759415
1/10/1991,90.45262146,67.72742462,27.18058777,80.47862244,51.34672165,34.44659424,80.47862244,95.07486725
