"","X","MILLOC","LA.PIRHUA","TAMBORAQUE"
"276","1/12/2003",159.5318298,123.9369049,94.10140991
"277","1/01/2004",19.44800758,29.19178963,30.10627365
"278","1/02/2004",133.9187164,145.8516388,108.8516006
"279","1/03/2004",90.55542755,84.92044067,77.01287079
"280","1/04/2004",51.77585983,41.3092041,30.96484375
"281","1/05/2004",8.395500183,4.671537399,1.802284598
"282","1/06/2004",12.62185764,7.105225563,2.351034403
"283","1/07/2004",7.815351486,2.750600576,0.589287341
"284","1/08/2004",9.388809204,4.670446396,1.142188311
"285","1/09/2004",56.12404251,31.84630775,11.23595333
"286","1/10/2004",103.4417419,66.98729706,22.28423309
"287","1/11/2004",109.5528488,79.56983185,37.46657562
"288","1/12/2004",181.3809662,130.3061676,89.22730255
"289","1/01/2005",99.16117859,110.401329,82.59200287
"290","1/02/2005",68.37624359,79.76228333,62.74552155
"291","1/03/2005",109.4465332,113.9042435,93.84081268
"292","1/04/2005",28.13532448,25.30932999,19.7908783
"293","1/05/2005",5.907645226,3.731708765,1.530183315
"294","1/06/2005",0.264305681,0.22625111,0.126744509
"295","1/07/2005",0.188653544,0,0
"296","1/08/2005",3.525982141,1.972219825,0.646219254
"297","1/09/2005",14.6998167,10.27988052,5.214912891
"298","1/10/2005",23.47997284,19.46751785,7.278215885
"299","1/11/2005",44.97372437,30.67421341,12.40382671
"300","1/12/2005",149.9028015,109.0871048,74.5490036
"301","1/01/2006",157.2314148,144.3835449,99.90284729
"302","1/02/2006",121.2161255,138.2572327,112.934433
"303","1/03/2006",180.8585052,161.4324188,129.9421844
"304","1/04/2006",90.3431015,70.05476379,48.74880219
"305","1/05/2006",5.993518829,3.165750265,0.988485098
"306","1/06/2006",1.472210765,1.889573097,1.09913373
"307","1/07/2006",0.328366011,0,0
"308","1/08/2006",10.30243683,4.91797924,1.172488093
"309","1/09/2006",32.21746826,23.17631912,9.847928047
"310","1/10/2006",67.64543152,40.72604752,13.55239964
"311","1/11/2006",88.66664886,68.36544037,38.49662781
"312","1/12/2006",155.2129517,113.1712646,85.9264679
"313","1/01/2007",141.7935028,136.4780426,93.4336853
"314","1/02/2007",111.9183044,119.807785,88.77755737
"315","1/03/2007",219.7323456,187.5191803,138.7905884
"316","1/04/2007",95.42674255,63.86872864,37.99974823
"317","1/05/2007",32.55671692,17.68661118,4.445396423
"318","1/06/2007",0.154905438,0.16378659,0.156223431
"319","1/07/2007",0.372276068,0,0
"320","1/08/2007",0.279721588,0.192594513,0.310563177
"321","1/09/2007",32.23871231,14.54684448,6.786300659
"322","1/10/2007",81.93515015,57.26260757,20.27273941
"323","1/11/2007",58.24718857,40.1546936,16.25427628
"324","1/12/2007",88.31877899,69.51411438,55.02382278
"325","1/01/2008",191.7292328,180.2363739,114.7421494
"326","1/02/2008",204.0434875,174.9544983,119.9629288
"327","1/03/2008",106.2223053,96.42366791,100.3154907
"328","1/04/2008",55.72717667,33.16344833,21.44972038
"329","1/05/2008",0.710603476,1.036208868,0.783407688
"330","1/06/2008",0.467753023,1.05927062,1.203728795
"331","1/07/2008",0.180612877,0,0
"332","1/08/2008",13.86899853,5.485023499,1.904293537
"333","1/09/2008",10.64481354,7.330510616,4.608447075
"334","1/10/2008",63.09884644,38.584095,13.1591568
"335","1/11/2008",50.38399887,43.23190308,27.69435883
"336","1/12/2008",118.6840515,87.60155487,63.43577576
"337","1/01/2009",177.7848053,165.9297943,116.3614502
"338","1/02/2009",198.5993195,189.5792389,131.2464447
"339","1/03/2009",148.5563812,136.6154022,123.4248734
"340","1/04/2009",111.8507767,70.36160278,42.11104965
"341","1/05/2009",0.26647985,2.574939966,3.914417505
"342","1/06/2009",0.394593716,0.237657547,0.060007822
"343","1/07/2009",3.662247896,1.686348319,0.817507803
"344","1/08/2009",19.96567917,8.793455124,3.441259861
"345","1/09/2009",36.60437775,20.36826706,6.883972168
"346","1/10/2009",123.1639633,93.88116455,38.28556824
"347","1/11/2009",209.7530975,160.0664215,82.19566345
"348","1/12/2009",172.7340088,112.1735382,72.37068176
"349","1/01/2010",168.5466156,142.8141937,82.88063049
"350","1/02/2010",139.7438049,126.4565964,86.9187088
"351","1/03/2010",193.1501617,144.4151154,87.21276855
"352","1/04/2010",76.2253418,48.82432175,27.30122375
"353","1/05/2010",3.893829584,2.844487906,1.140451074
"354","1/06/2010",4.197447777,3.072556496,1.813547134
"355","1/07/2010",0.728329539,0.198520079,0.035595272
"356","1/08/2010",1.961357951,0.935977757,0.280195117
"357","1/09/2010",34.14640045,20.66571808,10.06201172
"358","1/10/2010",61.94657898,38.78544617,14.6418972
"359","1/11/2010",85.01618958,55.96058273,29.1146431
"360","1/12/2010",190.4118958,135.2234344,101.942627
"361","1/01/2011",189.4837646,172.7262268,116.5064621
"362","1/02/2011",140.3927917,140.4078979,97.43873596
"363","1/03/2011",166.2109833,149.784317,105.9284668
"364","1/04/2011",95.46372986,80.88312531,63.19085312
"365","1/05/2011",13.29425716,7.395718098,2.471387625
"366","1/06/2011",0.194545746,0.359877676,0.268454671
"367","1/07/2011",6.691178799,2.00449872,0.481846929
"368","1/08/2011",15.27019691,7.824709892,2.631534815
"369","1/09/2011",35.98524857,20.85835838,8.384246826
"370","1/10/2011",32.71659851,24.00803947,7.36675787
"371","1/11/2011",107.0224838,86.26512146,47.23392105
"372","1/12/2011",190.4406128,141.0449677,105.1612854
"373","1/01/2012",176.5926056,115.5404434,52.79472733
"374","1/02/2012",214.2082825,205.3209991,131.7826385
"375","1/03/2012",180.6842499,147.0286255,107.1799393
"376","1/04/2012",120.399086,122.6614151,95.49332428
"377","1/05/2012",26.8025856,10.36127472,2.264460325
"378","1/06/2012",2.637092829,1.89340353,0.757737398
"379","1/07/2012",0.085487232,0,0
"380","1/08/2012",3.648727417,1.859556198,0.531378925
"381","1/09/2012",70.07050323,44.88647079,15.28043461
"382","1/10/2012",60.73833084,62.58249664,37.38066101
"383","1/11/2012",99.9088974,79.91400909,41.3650856
"384","1/12/2012",165.3791962,116.582489,78.23693085
"385","1/01/2013",129.7393036,98.76254272,53.24735641
"386","1/02/2013",206.6366425,207.2153168,130.9105835
"387","1/03/2013",152.3401947,145.9405518,112.4774246
"388","1/04/2013",39.33504486,27.76714134,20.76687622
"389","1/05/2013",49.43718719,30.62487602,13.00428391
"390","1/06/2013",7.219235897,4.077769279,1.197929263
"391","1/07/2013",7.569638729,4.043702602,1.203511596
"392","1/08/2013",22.35854149,11.18000412,4.101946354
"393","1/09/2013",8.337656975,4.129989147,1.871112347
"394","1/10/2013",72.95256042,57.07134247,22.24471283
"395","1/11/2013",75.20072174,62.43592453,33.31204224
"396","1/12/2013",158.0847321,109.4990692,73.81469727
"397","1/01/2014",184.5811157,152.9584961,88.41899872
"398","1/02/2014",147.9445343,125.7084274,70.27160645
"399","1/03/2014",205.8445435,163.1048737,112.0860138
"400","1/04/2014",52.87975693,37.9345932,24.8688736
"401","1/05/2014",19.4935627,10.01392174,2.394077063
"402","1/06/2014",1.376245856,0.635708153,0.245868191
"403","1/07/2014",17.11292458,6.628901482,1.682088494
"404","1/08/2014",15.12661743,16.81596756,10.97994232
"405","1/09/2014",64.32508087,34.56785202,11.66211605
"406","1/10/2014",84.71580505,66.45082855,25.7113781
"407","1/11/2014",73.84771729,58.5414505,31.98496437
"408","1/12/2014",172.9189453,121.1974335,92.57956696
"409","1/01/2015",180.0878296,159.3103027,93.04666138
"410","1/02/2015",124.989357,112.9154587,65.72402954
"411","1/03/2015",115.1739044,113.5504761,103.8679886
"412","1/04/2015",77.84210205,50.38579178,29.91568375
"413","1/05/2015",23.52732658,17.26979065,5.097455978
"414","1/06/2015",6.875439644,4.182238579,2.378459454
"415","1/07/2015",4.079339981,1.84956491,0.323018312
"416","1/08/2015",33.87774658,18.77973366,8.703820229
"417","1/09/2015",43.9407959,27.18192291,10.23516083
"418","1/10/2015",71.38729095,46.52368546,14.28972149
"419","1/11/2015",89.97723389,70.61863708,37.97252274
"420","1/12/2015",131.938324,88.90707397,54.11175156
"421","1/01/2016",64.77915955,52.09807968,25.09613419
"422","1/02/2016",212.9026794,189.7235565,110.2788162
"423","1/03/2016",129.9829102,106.4698944,75.68804932
"424","1/04/2016",73.29142761,52.27803421,30.49380875
"425","1/05/2016",10.2251358,5.778373718,1.642285585
"426","1/06/2016",5.955208302,2.966439247,1.025187135
"427","1/07/2016",1.957723022,0.503107429,0.114397198
"428","1/08/2016",0.237282202,0.04665982,0.009414734
"429","1/09/2016",56.33189392,36.49300766,16.01659584
"430","1/10/2016",41.07643127,24.06688309,5.406620979
"431","1/11/2016",1.5067662,0.8793962,0.274129331
"432","1/12/2016",111.2850494,81.06923676,60.94172668
